Assembly Name	Assembly Accession	Assembly Paired Assembly Accession	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Stats Total Sequence Length	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Number of Scaffolds
ASM1313803v1	GCA_013138035.1		Penicillium sp. str. #12		#12					Annotation submitted by None	37990757	Contig	2020-05-21	JAASRZ01	50
ASM2882898v1	GCA_028828985.1		Penicillium chermesinum		IBT 22717					Annotation submitted by Aalborg University	27552694	Contig	2023-02-23	JAQJZV01	17
NIH_F51_1.1	GCA_037356495.1		Penicillium sp. F51		F51						32984314	Contig	2024-03-19	JAYXSB01	78
NIH_F50_1.1	GCA_037356195.1		Penicillium sp. F50		F50						33024260	Scaffold	2024-03-19	JAYXSA01	83
ASM3671207v1	GCA_036712075.1		Penicillium sp. DT28		DT28						23419689	Scaffold	2024-02-20	JAZHLO01	9
NIH_C7_1.1	GCA_037356175.1		Penicillium sp. C7(2024)		C7(2024)						32299038	Contig	2024-03-19	JAYXSD01	163
ASM4766351v1	GCA_047663515.1		Penicillium sp. INA 01369		INA 01369						33708980	Scaffold	2025-02-11	JBLKNV01	89
ASM3707490v1	GCA_037074905.1		Penicillium sp. MYA5		MYA5						32800485	Contig	2024-03-08	JAYRCP01	26
ASM2882833v1	GCA_028828335.1		Penicillium malachiteum		IBT 17514					Annotation submitted by Aalborg University	34028674	Contig	2023-02-23	JAQJAN01	24
ASM2882856v1	GCA_028828565.1		Penicillium verhagenii		IBT 33313					Annotation submitted by Aalborg University	31056496	Contig	2023-02-23	JAQKAN01	27
ASM380049v2	GCA_003800495.2		Penicillium sp. SPG-F1		SPG-F1						32629321	Contig	2023-04-26	PUXE02	128
ASM1841017v1	GCA_018410175.1		Penicillium corylophilum		F5_1S_1B_F						28231333	Scaffold	2021-05-19	JAGUQK01	53
ASM2756959v1	GCA_027569595.1		Penicillium sp. G339		G339						32620809	Contig	2023-01-04	JAPDFJ01	93
ASM1977546v1	GCA_019775465.1		Penicillium sp. VS I D KN 3		VS I D KN 3						35127538	Scaffold	2021-08-26	JACWFS01	452
Psal_LCP06525	GCA_911456365.1		Penicillium salamii							Annotation submitted by University Paris-Sud	37000735	Contig	2022-09-22	CAJVRA01	99
ASM207240v1	GCA_002072405.1		Penicillium coprophilum		IBT 31321					Annotation submitted by Chalmers University of Technology	28360408	Scaffold	2017-03-24	MDDG01	91
NIH_F2_1.1	GCA_037414295.1		Penicillium sp. F2(2024)		F2(2024)						32922503	Contig	2024-03-19	JAYXSC01	219
Psal_LCP06521	GCA_911197325.1		Penicillium salamii							Annotation submitted by University Paris-Sud	36245078	Scaffold	2022-09-22	CAJVPC01	410
ASM2756989v1	GCA_027569895.1		Penicillium sp. G342		G342						26531990	Contig	2023-01-04	JAPDLA01	124
ASM2362635v1	GCA_023626355.1		Penicillium sp. S1602		S1701						33728083	Scaffold	2022-06-01	JAMAGW01	478
Psal_CBS135394	GCA_911174905.1		Penicillium salamii							Annotation submitted by University Paris-Sud	34782843	Scaffold	2022-09-22	CAJVOC01	337
Psal_CBS135392	GCA_911175275.1		Penicillium salamii							Annotation submitted by University Paris-Sud	36168087	Scaffold	2022-09-22	CAJVOO01	414
ASM1977541v1	GCA_019775415.1		Penicillium sp. VS I D KN		VS I D KN						35174464	Scaffold	2021-08-26	JACWFT01	432
ASM1558597v1	GCA_015585975.1		Penicillium dipodomyicola		IF7SW-F3						34047919	Scaffold	2020-11-18	JACSOY01	1372
ASM2281366v1	GCA_022813665.1		Penicillium sumatraense		FJI-L10-BK-P2						34882906	Scaffold	2022-04-04	JAKLLZ01	339
ASM1558576v1	GCA_015585765.1		Penicillium dipodomyicola		IIF7SW-F4						32057306	Scaffold	2020-11-18	JACSOQ01	455
ASM2281364v1	GCA_022813645.1		Penicillium sumatraense		FJI-L3-BK-DG1						34674451	Scaffold	2022-04-04	JAKLMA01	326
ASM1977527v1	GCA_019775275.1		Penicillium sp. VS AB III KN		VS AB III KN						24864245	Scaffold	2021-08-26	JACWGB01	296
ASM2362641v1	GCA_023626415.1		Penicillium sp. S1701		PF2412A						35144504	Scaffold	2022-06-01	JAMAGY01	226
ASM1977530v1	GCA_019775305.1		Penicillium sp. VS AB III KN 1		VS AB III KN 1						24854136	Scaffold	2021-08-26	JACWGC01	312
ASM1982747v1	GCA_019827475.1		Penicillium cf. chrysogenum		S/N-308-OC-P1						68790985	Scaffold	2021-08-31	JACVQR01	893
ASM2362643v1	GCA_023626435.1		Penicillium sp. M1327		PF1803						27695660	Scaffold	2022-06-01	JAMAGX01	309
Psal_CBS135401	GCA_911639275.1		Penicillium salamii							Annotation submitted by University Paris-Sud	34980374	Scaffold	2022-07-01	CAJVRH01	1042
ASM3077944v1	GCA_030779445.1		Penicillium sp. MBC 424		MBC 424						28473004	Contig	2023-08-17	JAPFSX01	574
ASM1558586v1	GCA_015585865.1		Penicillium griseoroseum		IIF4SW-F4						31587083	Scaffold	2020-11-18	JACSOT01	348
ASM3704213v1	GCA_037042135.1		Penicillium sp. PG113-03A		PG113-03A						22673652	Scaffold	2024-03-06	JAXQJW01	167
ASM3704171v1	GCA_037041715.1		Penicillium sumatraense		R121-14B						33127552	Contig	2024-03-06	JAXQIZ01	189
ASM1558588v1	GCA_015585885.1		Penicillium griseoroseum		IF7SW-F5						31568288	Scaffold	2020-11-18	JACSOW01	361
ASM2028406v1	GCA_020284065.1		Penicillium cf. chrysogenum		S/N-308-OC-R5						31681686	Scaffold	2021-10-05	JAILXA01	452
Psal_CBS135391	GCA_911175135.1		Penicillium salamii							Annotation submitted by University Paris-Sud	34385921	Scaffold	2022-09-22	CAJVOR01	511
ASM3704205v1	GCA_037042055.1		Penicillium sp. S103-07		S103-07						29774733	Scaffold	2024-03-06	JAXQJQ01	516
ASM4033337v2	GCA_040333375.2		Penicillium brefeldianum		F015						32621465	Scaffold	2024-11-01	JBEBNM02	39
Psal_CBS135407	GCA_911197295.1		Penicillium salamii							Annotation submitted by University Paris-Sud	34748438	Scaffold	2022-09-22	CAJVPF01	404
ASM2756949v1	GCA_027569495.1		Penicillium vulpinum		NRRL 1001						31389357	Contig	2023-01-04	JAPDFE01	233
ASM2362740v1	GCA_023627405.1		Penicillium sp. S1316		R2504						41245004	Scaffold	2022-06-01	JAMAHF01	701
Psal_CBS135399	GCA_911175095.1		Penicillium salamii							Annotation submitted by University Paris-Sud	34529233	Scaffold	2022-09-22	CAJVOP01	382
Psal_DTO198-E3	GCA_911197205.1		Penicillium salamii							Annotation submitted by University Paris-Sud	30529291	Scaffold	2022-09-22	CAJVPB01	205
Psal_DTO334-B6	GCA_911197365.1		Penicillium salamii							Annotation submitted by University Paris-Sud	30376733	Scaffold	2022-09-22	CAJVOZ01	157
Psal_CCFL5	GCA_911197195.1		Penicillium salamii							Annotation submitted by University Paris-Sud	32202828	Scaffold	2022-09-22	CAJVPE01	302
Psal_CCFL11ab2.1	GCA_911197175.1		Penicillium salamii							Annotation submitted by University Paris-Sud	31552640	Scaffold	2022-09-22	CAJVPA01	261
Psal_CBS135397	GCA_911174925.1		Penicillium salamii							Annotation submitted by University Paris-Sud	33059587	Scaffold	2022-09-22	CAJVOI01	279
ASM207234v1	GCA_002072345.1		Penicillium antarcticum		IBT 31811					Annotation submitted by Chalmers University of Technology	31454985	Scaffold	2017-03-24	MDYN01	700
Psal_DTO032-F3	GCA_911197305.1		Penicillium salamii							Annotation submitted by University Paris-Sud	30836126	Scaffold	2022-09-22	CAJVPD01	304
Psal_CBS135396	GCA_911174965.1		Penicillium salamii							Annotation submitted by University Paris-Sud	33039670	Scaffold	2022-09-22	CAJVNW01	301
ASM3077928v1	GCA_030779285.1		Penicillium sp. MBC 428		MBC 428						28053325	Contig	2023-08-17	JAPFSY01	374
ASM1175069v1	GCA_011750695.1		Penicillium sp. OUCMDZ-019		OUCMDZ-019						31451881	Scaffold	2020-03-25	WTTZ01	580
ASM2362649v1	GCA_023626495.1		Penicillium sp. PT4103		D2Mb						29949327	Scaffold	2022-06-01	JAMAHB01	401
Psal_CBS135403	GCA_911197385.1		Penicillium salamii							Annotation submitted by University Paris-Sud	31684316	Scaffold	2022-09-22	CAJVPH01	415
Psal_CBS135395	GCA_911175075.1		Penicillium salamii							Annotation submitted by University Paris-Sud	31711110	Scaffold	2022-09-22	CAJVNX01	385
Psal_LCP06523	GCA_911197245.1		Penicillium salamii							Annotation submitted by University Paris-Sud	36234877	Scaffold	2022-09-22	CAJVPG01	477
Psal_CBS135400	GCA_911175285.1		Penicillium salamii							Annotation submitted by University Paris-Sud	34399282	Scaffold	2022-09-22	CAJVOU01	417
ASM207225v1	GCA_002072255.1		Penicillium vulpinum		IBT 29486					Annotation submitted by Chalmers University of Technology	31032801	Scaffold	2017-03-24	MDYP01	659
Psal_LCP06522	GCA_911197405.1		Penicillium salamii							Annotation submitted by University Paris-Sud	36247989	Scaffold	2022-09-22	CAJVQD01	711
Psal_CBS135393	GCA_911175105.1		Penicillium salamii							Annotation submitted by University Paris-Sud	33764403	Scaffold	2022-09-22	CAJVOQ01	557
ASM207237v1	GCA_002072375.1		Penicillium steckii		IBT 24891					Annotation submitted by Chalmers University of Technology	32109558	Scaffold	2017-03-24	MLKD01	84
ASM1980456v1	GCA_019804565.1		Penicillium robsamsonii		VS III D KN3.2						35080806	Scaffold	2021-08-30	JAETFV01	875
ASM1918925v1	GCA_019189255.1		Penicillium palitans		F8_6S-4F						36605405	Scaffold	2021-07-09	JAHAOX01	827
ASM1919105v1	GCA_019191055.1		Penicillium palitans		F6_4S_1A_F						36471070	Scaffold	2021-07-09	JAHARM01	798
ASM1918928v1	GCA_019189285.1		Penicillium palitans		F8_6S-3F						36607893	Scaffold	2021-07-09	JAHAOY01	799
ASM2362653v1	GCA_023626535.1		Penicillium sp. S1126A		PH3801						30421393	Scaffold	2022-06-01	JAMAHD01	433
ASM1918935v1	GCA_019189355.1		Penicillium palitans		F8_6S_5F						36607101	Scaffold	2021-07-09	JAHAPC01	808
ASM1919048v1	GCA_019190485.1		Penicillium palitans		F6_7S_1A_F						36439435	Scaffold	2021-07-09	JAHAQR01	820
ASM1919018v1	GCA_019190185.1		Penicillium palitans		F6_8S_1A_F						36453009	Scaffold	2021-07-09	JAHAQI01	828
ASM5357302v1	GCA_053573025.1		Penicillium freii		MS0197						35298783	Contig	2025-11-21	JBNLJD01	563
ASM1919104v1	GCA_019191045.1		Penicillium palitans		F6_4S_1C_F						36477181	Scaffold	2021-07-09	JAHARK01	802
ASM1918936v1	GCA_019189365.1		Penicillium palitans		F8_6S_2F						36503579	Scaffold	2021-07-09	JAHAPD01	943
ASM1919016v1	GCA_019190165.1		Penicillium palitans		F6_8S_1C_F						36588697	Scaffold	2021-07-09	JAHAQH01	850
ASM1919072v1	GCA_019190725.1		Penicillium palitans		F6_6S_1_F						36467611	Scaffold	2021-07-09	JAHARA01	808
ASM1919103v1	GCA_019191035.1		Penicillium palitans		F6_4S_1B_F						36468364	Scaffold	2021-07-09	JAHARL01	806
ASM1918926v1	GCA_019189265.1		Penicillium palitans		F8_6S-1F						36400448	Scaffold	2021-07-09	JAHAOZ01	987
ASM385285v1	GCA_003852855.1		Penicillium sp. MT2 MMC-2018		MT2 MMC-2018						33839364	Contig	2018-11-30	PZKB01	529
ASM1982879v1	GCA_019828795.1		Penicillium cf. chrysogenum		S/N-302-OC-P1						31386915	Scaffold	2021-08-31	JACVQW01	637
ASM2362651v1	GCA_023626515.1		Penicillium sp. R1202D		S1126A						30951873	Scaffold	2022-06-01	JAMAHC01	364
ASM2576811v1	GCA_025768115.1		Penicillium sp. D2Mb		R2202						30505107	Scaffold	2022-10-20	JAMFOT01	287
Penicillium_viridicatum_XA_v2	GCA_902713535.1		Penicillium viridicatum					XA		Annotation submitted by UNIVERSITY OF TURIN	31758349	Scaffold	2025-02-20	CACTIR02	729
ASM2362655v1	GCA_023626555.1		Penicillium sp. PF2412A		R1202D						31141126	Scaffold	2022-06-01	JAMAHA01	570
ASM313804v1	GCA_003138045.1		Penicillium sp. MA 6036		MA 6036						33375507	Contig	2018-05-18	QAGG01	1208
Penicillium_manginii_YELL_v2	GCA_902713545.1		Penicillium manginii					YELL		Annotation submitted by UNIVERSITY OF TURIN	36757734	Scaffold	2025-02-20	CACTIQ02	798
ASM2362657v1	GCA_023626575.1		Penicillium sp. PF1803		PT4103						40239996	Scaffold	2022-06-01	JAMAGZ01	1741
ASM893194v1	GCA_008931945.1		Penicillium sp. BW_162_3FA		BW_162_3FA						36367533	Scaffold	2019-10-09	MUGJ01	1741
ASM893193v1	GCA_008931935.1		Penicillium sp. BW_MB		BW_MB						31635141	Scaffold	2019-10-09	MUGH01	905
ASM3704262v1	GCA_037042625.1		Penicillium sp. PG115-01		PG115-01						31322363	Scaffold	2024-03-06	JAXQKS01	1618
ASM313802v1	GCA_003138025.1		Penicillium sp. MA 6040		MA 6040						32104534	Contig	2018-05-18	QAGI01	962
ASM525074v2	GCA_005250745.2		Penicillium sp. CF01		CF01						29669991	Scaffold	2022-11-30	RFFF02	38
ASM2281354v1	GCA_022813545.1		Penicillium caseifulvum		FJII-L4-SW-DR1						35656037	Scaffold	2022-04-04	JAKLMG01	1183
ASM3704223v1	GCA_037042235.1		Penicillium freii		S90-01						35646826	Scaffold	2024-03-06	JAXQJZ01	1937
ASM2362661v1	GCA_023626615.1		Penicillium sp. PH3801		S1316						30790414	Scaffold	2022-06-01	JAMAHE01	720
Ppalitans_SP3_v2	GCA_902713495.1		Penicillium palitans					SP3		Annotation submitted by UNIVERSITY OF TURIN	35337038	Scaffold	2025-02-20	CACTIN02	1219
ASM893192v1	GCA_008931925.1		Penicillium sp. BW_12		BW_12						35605011	Scaffold	2019-10-09	MUGI01	2019
ASM3176147v1	GCA_031761475.1		Penicillium pancosmium					MUM 23.27			34824057	Scaffold	2023-09-20	JAVMSB01	766
ASM127859v1	GCA_001278595.1		Penicillium nordicum		DAOMC 185683					Annotation submitted by Agriculture and Agri-Food Canada	30844022	Scaffold	2015-09-03	LHQQ01	996
ASM3970213v1	GCA_039702135.1		Penicillium sp. 32 TS-2023		32 TS-2023						30237888	Contig	2024-05-20	JARWGO01	1046
ASM1982743v1	GCA_019827435.1		Penicillium cf. chrysogenum		S/N-302-OC-R3						31292888	Scaffold	2021-08-31	JACVQT01	1063
ASM151392v1	GCA_001513925.1		Penicillium freii		DAOM 242723					Annotation submitted by Agriculture and Agri-Food Canada	33546389	Scaffold	2016-01-13	LLXE01	1923
UMS_E22	GCA_035048945.1		Penicillium sp. E22		E22						37475709	Scaffold	2024-01-03	JASJUN01	2688
ASM291645v1	GCA_002916455.1		Penicillium sp. CF05		CF05						34938837	Scaffold	2018-02-05	PKQL01	2289
ASM3704225v1	GCA_037042255.1		Penicillium sp. PG106-07D		PG106-07D						32269330	Scaffold	2024-03-06	JAXQJV01	3418
ASM200037v1	GCA_002000375.1		Penicillium sp. HKF2					HKF2			31484772	Scaffold	2017-02-15	MUXA01	94
ASM3704250v1	GCA_037042505.1		Penicillium sp. M121-12C		M121-12C						31126928	Scaffold	2024-03-06	JAXQKM01	8372
ASM3704253v1	GCA_037042535.1		Penicillium sp. B98-03		B98-03						28184015	Scaffold	2024-03-06	JAXQKP01	10791
ASM1982887v1	GCA_019828875.1		Penicillium cf. chrysogenum		S/N-302-OC-R1						15687375	Scaffold	2021-08-31	JACVQU01	8946
PenChr_Nov2007	GCA_000226395.1	GCF_000226395.1	Penicillium rubens Wisconsin 54-1255		Wisconsin 54-1255					Annotation submitted by DSM Anti-Infectives, The Netherlands	32223735	Scaffold	2008-11-04		49
PenChr_Nov2007	GCF_000226395.1	GCA_000226395.1	Penicillium rubens Wisconsin 54-1255		Wisconsin 54-1255					Annotation submitted by NCBI RefSeq	32223735	Scaffold	2008-11-04		49
PdigPd1_v1	GCA_000315645.2	GCF_000315645.1	Penicillium digitatum Pd1		Pd1					Annotation submitted by Center for Genomic Regulation (CRG)	26053171	Scaffold	2012-12-03	AKCU01	53
PdigPd1_v1	GCF_000315645.1	GCA_000315645.2	Penicillium digitatum Pd1		Pd1					Annotation submitted by Center for Genomic Regulation (CRG)	26053171	Scaffold	2012-11-28	AKCU01	53
ASM3704409v1	GCA_037044095.1		Penicillium rubens		LH_A166						1845868	Contig	2024-03-06	JAWLTC01	488
ASM207223v1	GCA_002072235.1	GCF_002072235.1	Penicillium solitum		IBT 29525					Annotation submitted by Chalmers University of Technology	33184895	Scaffold	2017-03-24	MDYO01	597
ASM207223v1	GCF_002072235.1	GCA_002072235.1	Penicillium solitum		IBT 29525					Annotation submitted by Chalmers University of Technology	33184895	Scaffold	2017-03-24	MDYO01	597
SRS-W-3	GCA_004959885.1		Penicillium sp. W3 MMC-2018		W3 MMC-2018						32212145	Contig	2019-04-30	PZKA01	1182
SRR12395656_bin.4_CONCOCT_v1.1_MAG	GCA_937871595.1		Penicillium arizonense								25453748	Contig	2023-01-12	CALMQH01	3029
